country,city,apartment_living_area_sqm,price_in_USD,price_per_sqm,apartment_bedrooms,apartment_bathrooms,area_flag_outlier,price_flag_outlier
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",36,97824,2717.3333333333335,NA,NA,FALSE,FALSE
Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",48,97280,2026.6666666666667,1.0,1.0,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",35,92389,2639.6857142857143,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,81520,2911.4285714285716,NA,NA,FALSE,FALSE
Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",64,94563,1477.546875,2.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Mersin, Turkey",30,79346,2644.866666666667,NA,NA,FALSE,FALSE
Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",57,69809,1224.719298245614,1.0,1.0,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",35,94563,2701.8,NA,NA,FALSE,FALSE
Turkey,"Mediterranean Region, Antalya, Turkey",40,73911,1847.775,1.0,1.0,FALSE,FALSE
Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",50,97824,1956.48,1.0,1.0,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,79346,2833.785714285714,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,79346,2833.785714285714,NA,NA,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",33,96737,2931.4242424242425,NA,NA,FALSE,FALSE
Turkey,"Arakli, Black Sea Region, Bayburt, Bayburt merkez, Turkey",138,85324,618.2898550724638,3.0,2.0,FALSE,FALSE
Turkey,"Mediterranean Region, Gazipasa, Turkey",45,106487,2366.3777777777777,1.0,1.0,FALSE,FALSE
Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",36,96737,2687.1388888888887,NA,NA,FALSE,FALSE
Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",28,78259,2794.964285714286,NA,NA,FALSE,FALSE
